Release 8.1i - Fit J.36
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-19-2016  9:53AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  TRAFFIC_LIGHT.ngd
output file: TRAFFIC_LIGHT_pad.csv
Part type:   xa9536xl
Speed grade: -15
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,TIE,,I/O,,,,,,,,,,
P3,light<3>,O,I/O,OUTPUT,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,TIE,,I/O,,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,light<5>,O,I/O,OUTPUT,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,light<7>,O,I/O,OUTPUT,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,TIE,,I/O,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,light<6>,O,I/O,OUTPUT,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,light<4>,O,I/O,OUTPUT,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TIE,,I/O,,,,,,,,,,
P31,light<1>,O,I/O,OUTPUT,,,,,,,,,
P32,TIE,,I/O,,,,,,,,,,
P33,TIE,,I/O/GSR,,,,,,,,,,
P34,emg,I,I/O/GTS2,INPUT,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,TIE,,I/O/GTS1,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,light<0>,O,I/O,OUTPUT,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,light<2>,O,I/O,OUTPUT,,,,,,,,,
P42,TIE,,I/O,,,,,,,,,,
P43,clk,GCK,I/O/GCK1,,,,,,,,,,
P44,TIE,,I/O/GCK2,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


