This is a Lite version of ISE Simulator.

Simulator is doing circuit initialization process.
Finished circuit initialization process.
cnt = 0 , EMG = 0 , lights = 1001_0001
cnt = 1 , EMG = 0 , lights = 1001_0001
cnt = 2 , EMG = 0 , lights = 1001_0001
cnt = 3 , EMG = 0 , lights = 1001_0001
cnt = 4 , EMG = 0 , lights = 1001_0001
cnt = 5 , EMG = 0 , lights = 0100_0001
cnt = 6 , EMG = 0 , lights = 0100_0001
cnt = 7 , EMG = 0 , lights = 0100_0001
cnt = 8 , EMG = 0 , lights = 0100_0001
cnt = 9 , EMG = 0 , lights = 0100_0001
cnt = 10 , EMG = 0 , lights = 0100_0001
cnt = 11 , EMG = 0 , lights = 0100_0001
cnt = 12 , EMG = 0 , lights = 0100_0001
cnt = 13 , EMG = 0 , lights = 0100_0001
cnt = 14 , EMG = 0 , lights = 0100_0001
cnt = 15 , EMG = 0 , lights = 0010_0001
cnt = 16 , EMG = 0 , lights = 0010_0001
cnt = 17 , EMG = 0 , lights = 0010_0001
cnt = 18 , EMG = 0 , lights = 0001_1001
cnt = 19 , EMG = 0 , lights = 0001_1001
cnt = 20 , EMG = 0 , lights = 0001_1001
cnt = 21 , EMG = 0 , lights = 0001_1001
cnt = 22 , EMG = 0 , lights = 0001_1001
cnt = 23 , EMG = 0 , lights = 0001_0100
cnt = 24 , EMG = 0 , lights = 0001_0100
cnt = 25 , EMG = 0 , lights = 0001_0100
cnt = 26 , EMG = 0 , lights = 0001_0100
cnt = 27 , EMG = 0 , lights = 0001_0100
cnt = 28 , EMG = 0 , lights = 0001_0100
cnt = 29 , EMG = 0 , lights = 0001_0100
cnt = 30 , EMG = 0 , lights = 0001_0100
cnt = 31 , EMG = 0 , lights = 0001_0100
cnt = 32 , EMG = 0 , lights = 0001_0100
cnt = 33 , EMG = 0 , lights = 0001_0010
cnt = 34 , EMG = 0 , lights = 0001_0010
cnt = 35 , EMG = 0 , lights = 0001_0010
cnt = 36 , EMG = 0 , lights = 1001_0001
cnt = 37 , EMG = 0 , lights = 1001_0001
cnt = 38 , EMG = 0 , lights = 1001_0001
cnt = 39 , EMG = 0 , lights = 1001_0001
cnt = 40 , EMG = 0 , lights = 1001_0001
cnt = 41 , EMG = 0 , lights = 0100_0001
cnt = 42 , EMG = 0 , lights = 0100_0001
cnt = 43 , EMG = 0 , lights = 0100_0001
cnt = 44 , EMG = 0 , lights = 0100_0001
cnt = 45 , EMG = 0 , lights = 0100_0001
cnt = 46 , EMG = 0 , lights = 0100_0001
cnt = 47 , EMG = 0 , lights = 0100_0001
cnt = 48 , EMG = 0 , lights = 0100_0001
cnt = 49 , EMG = 0 , lights = 0100_0001
cnt = 50 , EMG = 0 , lights = 0100_0001
cnt = 51 , EMG = 0 , lights = 0010_0001
cnt = 52 , EMG = 0 , lights = 0010_0001
cnt = 53 , EMG = 0 , lights = 0010_0001
cnt = 54 , EMG = 0 , lights = 0001_1001
cnt = 55 , EMG = 0 , lights = 0001_1001
cnt = 56 , EMG = 0 , lights = 0001_1001
cnt = 57 , EMG = 0 , lights = 0001_1001
cnt = 58 , EMG = 0 , lights = 0001_1001
cnt = 59 , EMG = 0 , lights = 0001_0100
cnt = 60 , EMG = 0 , lights = 0001_0100
cnt = 61 , EMG = 0 , lights = 0001_0100
cnt = 62 , EMG = 0 , lights = 0001_0100
cnt = 63 , EMG = 0 , lights = 0001_0100
cnt = 64 , EMG = 0 , lights = 0001_0100
cnt = 65 , EMG = 0 , lights = 0001_0100
cnt = 66 , EMG = 0 , lights = 0001_0100
cnt = 67 , EMG = 0 , lights = 0001_0100
cnt = 68 , EMG = 0 , lights = 0001_0100
cnt = 69 , EMG = 0 , lights = 0001_0010
cnt = 70 , EMG = 0 , lights = 0001_0010
cnt = 71 , EMG = 0 , lights = 0001_0010
cnt = 72 , EMG = 0 , lights = 1001_0001
cnt = 73 , EMG = 0 , lights = 1001_0001
cnt = 74 , EMG = 0 , lights = 1001_0001
cnt = 75 , EMG = 0 , lights = 1001_0001
cnt = 75 , EMG = 1 , lights = 1001_0001
cnt = 76 , EMG = 1 , lights = 0001_0001
cnt = 77 , EMG = 1 , lights = 0001_0001
cnt = 78 , EMG = 1 , lights = 0001_0001
cnt = 79 , EMG = 1 , lights = 0001_0001
cnt = 80 , EMG = 1 , lights = 0001_0001
cnt = 81 , EMG = 1 , lights = 0001_0001
cnt = 82 , EMG = 1 , lights = 0001_0001
cnt = 83 , EMG = 0 , lights = 1001_0001
cnt = 84 , EMG = 0 , lights = 1001_0001
cnt = 85 , EMG = 0 , lights = 0100_0001
cnt = 86 , EMG = 0 , lights = 0100_0001
cnt = 87 , EMG = 0 , lights = 0100_0001
cnt = 88 , EMG = 0 , lights = 0100_0001
cnt = 89 , EMG = 0 , lights = 0100_0001
cnt = 90 , EMG = 0 , lights = 0100_0001
cnt = 91 , EMG = 0 , lights = 0100_0001
cnt = 92 , EMG = 0 , lights = 0100_0001
cnt = 93 , EMG = 0 , lights = 0100_0001
cnt = 94 , EMG = 0 , lights = 0100_0001
cnt = 95 , EMG = 0 , lights = 0010_0001
cnt = 96 , EMG = 0 , lights = 0010_0001
cnt = 97 , EMG = 0 , lights = 0010_0001
cnt = 98 , EMG = 0 , lights = 0001_1001
cnt = 99 , EMG = 0 , lights = 0001_1001
cnt = 100 , EMG = 0 , lights = 0001_1001
cnt = 101 , EMG = 0 , lights = 0001_1001
cnt = 102 , EMG = 0 , lights = 0001_1001
cnt = 103 , EMG = 0 , lights = 0001_0100
cnt = 104 , EMG = 0 , lights = 0001_0100
cnt = 105 , EMG = 0 , lights = 0001_0100
cnt = 106 , EMG = 0 , lights = 0001_0100
cnt = 107 , EMG = 0 , lights = 0001_0100
cnt = 108 , EMG = 0 , lights = 0001_0100
cnt = 109 , EMG = 0 , lights = 0001_0100
cnt = 110 , EMG = 0 , lights = 0001_0100
cnt = 111 , EMG = 0 , lights = 0001_0100
cnt = 112 , EMG = 0 , lights = 0001_0100
cnt = 113 , EMG = 0 , lights = 0001_0010
cnt = 114 , EMG = 0 , lights = 0001_0010
cnt = 115 , EMG = 0 , lights = 0001_0010
cnt = 116 , EMG = 0 , lights = 1001_0001
cnt = 117 , EMG = 0 , lights = 1001_0001
cnt = 118 , EMG = 0 , lights = 1001_0001
cnt = 119 , EMG = 0 , lights = 1001_0001
cnt = 120 , EMG = 0 , lights = 1001_0001
cnt = 121 , EMG = 0 , lights = 0100_0001
cnt = 122 , EMG = 0 , lights = 0100_0001
cnt = 123 , EMG = 0 , lights = 0100_0001
cnt = 124 , EMG = 0 , lights = 0100_0001
cnt = 125 , EMG = 0 , lights = 0100_0001
cnt = 126 , EMG = 0 , lights = 0100_0001
cnt = 127 , EMG = 0 , lights = 0100_0001
cnt = 128 , EMG = 0 , lights = 0100_0001
cnt = 129 , EMG = 0 , lights = 0100_0001
cnt = 130 , EMG = 0 , lights = 0100_0001
cnt = 131 , EMG = 0 , lights = 0010_0001
cnt = 132 , EMG = 0 , lights = 0010_0001
cnt = 133 , EMG = 0 , lights = 0010_0001
cnt = 134 , EMG = 0 , lights = 0001_1001
cnt = 135 , EMG = 0 , lights = 0001_1001
cnt = 136 , EMG = 0 , lights = 0001_1001
cnt = 137 , EMG = 0 , lights = 0001_1001
cnt = 138 , EMG = 0 , lights = 0001_1001
cnt = 139 , EMG = 0 , lights = 0001_0100
cnt = 140 , EMG = 0 , lights = 0001_0100
cnt = 141 , EMG = 0 , lights = 0001_0100
cnt = 142 , EMG = 0 , lights = 0001_0100
cnt = 143 , EMG = 0 , lights = 0001_0100
cnt = 144 , EMG = 0 , lights = 0001_0100
cnt = 145 , EMG = 0 , lights = 0001_0100
cnt = 146 , EMG = 0 , lights = 0001_0100
cnt = 147 , EMG = 0 , lights = 0001_0100
cnt = 148 , EMG = 0 , lights = 0001_0100
cnt = 149 , EMG = 0 , lights = 0001_0010
cnt = 150 , EMG = 0 , lights = 0001_0010
cnt = 151 , EMG = 0 , lights = 0001_0010
cnt = 152 , EMG = 0 , lights = 1001_0001
cnt = 153 , EMG = 0 , lights = 1001_0001
cnt = 154 , EMG = 0 , lights = 1001_0001
cnt = 155 , EMG = 0 , lights = 1001_0001
cnt = 156 , EMG = 0 , lights = 1001_0001
cnt = 157 , EMG = 0 , lights = 0100_0001
cnt = 158 , EMG = 1 , lights = 0001_0001
cnt = 159 , EMG = 1 , lights = 0001_0001
cnt = 160 , EMG = 1 , lights = 0001_0001
cnt = 161 , EMG = 1 , lights = 0001_0001
cnt = 162 , EMG = 1 , lights = 0001_0001
cnt = 163 , EMG = 1 , lights = 0001_0001
cnt = 164 , EMG = 1 , lights = 0001_0001
cnt = 165 , EMG = 1 , lights = 0001_0001
cnt = 165 , EMG = 0 , lights = 0001_0001
cnt = 166 , EMG = 0 , lights = 0100_0001
cnt = 167 , EMG = 0 , lights = 0100_0001
cnt = 168 , EMG = 0 , lights = 0100_0001
cnt = 169 , EMG = 0 , lights = 0100_0001
cnt = 170 , EMG = 0 , lights = 0100_0001
cnt = 171 , EMG = 0 , lights = 0100_0001
cnt = 172 , EMG = 0 , lights = 0100_0001
cnt = 173 , EMG = 0 , lights = 0100_0001
cnt = 174 , EMG = 0 , lights = 0100_0001
cnt = 175 , EMG = 0 , lights = 0100_0001
cnt = 176 , EMG = 0 , lights = 0010_0001
cnt = 177 , EMG = 0 , lights = 0010_0001
cnt = 178 , EMG = 0 , lights = 0010_0001
cnt = 179 , EMG = 0 , lights = 0001_1001
cnt = 180 , EMG = 0 , lights = 0001_1001
cnt = 181 , EMG = 0 , lights = 0001_1001
cnt = 182 , EMG = 0 , lights = 0001_1001
cnt = 183 , EMG = 0 , lights = 0001_1001
cnt = 184 , EMG = 0 , lights = 0001_0100
cnt = 185 , EMG = 0 , lights = 0001_0100
cnt = 186 , EMG = 0 , lights = 0001_0100
cnt = 187 , EMG = 0 , lights = 0001_0100
cnt = 188 , EMG = 0 , lights = 0001_0100
cnt = 189 , EMG = 0 , lights = 0001_0100
cnt = 190 , EMG = 0 , lights = 0001_0100
cnt = 191 , EMG = 0 , lights = 0001_0100
cnt = 192 , EMG = 0 , lights = 0001_0100
cnt = 193 , EMG = 0 , lights = 0001_0100
cnt = 194 , EMG = 0 , lights = 0001_0010
cnt = 195 , EMG = 0 , lights = 0001_0010
cnt = 196 , EMG = 0 , lights = 0001_0010
cnt = 197 , EMG = 0 , lights = 1001_0001
cnt = 198 , EMG = 0 , lights = 1001_0001
cnt = 199 , EMG = 0 , lights = 1001_0001
cnt = 200 , EMG = 0 , lights = 1001_0001
cnt = 201 , EMG = 0 , lights = 1001_0001
cnt = 202 , EMG = 0 , lights = 0100_0001
cnt = 203 , EMG = 0 , lights = 0100_0001
cnt = 204 , EMG = 0 , lights = 0100_0001
cnt = 205 , EMG = 0 , lights = 0100_0001
cnt = 206 , EMG = 0 , lights = 0100_0001
cnt = 207 , EMG = 0 , lights = 0100_0001
cnt = 208 , EMG = 0 , lights = 0100_0001
cnt = 209 , EMG = 0 , lights = 0100_0001
cnt = 210 , EMG = 0 , lights = 0100_0001
cnt = 211 , EMG = 0 , lights = 0100_0001
cnt = 212 , EMG = 0 , lights = 0010_0001
cnt = 213 , EMG = 0 , lights = 0010_0001
cnt = 214 , EMG = 0 , lights = 0010_0001
cnt = 215 , EMG = 0 , lights = 0001_1001
cnt = 216 , EMG = 0 , lights = 0001_1001
cnt = 217 , EMG = 0 , lights = 0001_1001
cnt = 218 , EMG = 0 , lights = 0001_1001
cnt = 219 , EMG = 0 , lights = 0001_1001
cnt = 220 , EMG = 0 , lights = 0001_0100
cnt = 221 , EMG = 0 , lights = 0001_0100
cnt = 222 , EMG = 0 , lights = 0001_0100
cnt = 223 , EMG = 0 , lights = 0001_0100
cnt = 224 , EMG = 0 , lights = 0001_0100
cnt = 225 , EMG = 0 , lights = 0001_0100
cnt = 226 , EMG = 0 , lights = 0001_0100
cnt = 227 , EMG = 0 , lights = 0001_0100
cnt = 228 , EMG = 0 , lights = 0001_0100
cnt = 229 , EMG = 0 , lights = 0001_0100
cnt = 230 , EMG = 0 , lights = 0001_0010
cnt = 231 , EMG = 0 , lights = 0001_0010
cnt = 232 , EMG = 0 , lights = 0001_0010
cnt = 233 , EMG = 0 , lights = 1001_0001
cnt = 234 , EMG = 0 , lights = 1001_0001
cnt = 235 , EMG = 0 , lights = 1001_0001
cnt = 236 , EMG = 0 , lights = 1001_0001
cnt = 237 , EMG = 0 , lights = 1001_0001
cnt = 238 , EMG = 0 , lights = 0100_0001
cnt = 239 , EMG = 0 , lights = 0100_0001
cnt = 240 , EMG = 0 , lights = 0100_0001
cnt = 240 , EMG = 1 , lights = 0100_0001
cnt = 241 , EMG = 1 , lights = 0001_0001
cnt = 242 , EMG = 1 , lights = 0001_0001
cnt = 243 , EMG = 1 , lights = 0001_0001
cnt = 244 , EMG = 1 , lights = 0001_0001
cnt = 245 , EMG = 1 , lights = 0001_0001
cnt = 246 , EMG = 1 , lights = 0001_0001
cnt = 247 , EMG = 1 , lights = 0001_0001
cnt = 248 , EMG = 0 , lights = 0100_0001
cnt = 249 , EMG = 0 , lights = 0100_0001
cnt = 250 , EMG = 0 , lights = 0100_0001
cnt = 251 , EMG = 0 , lights = 0100_0001
cnt = 252 , EMG = 0 , lights = 0100_0001
cnt = 253 , EMG = 0 , lights = 0100_0001
cnt = 254 , EMG = 0 , lights = 0100_0001
cnt = 255 , EMG = 0 , lights = 0100_0001
cnt = 256 , EMG = 0 , lights = 0010_0001
cnt = 257 , EMG = 0 , lights = 0010_0001
cnt = 258 , EMG = 0 , lights = 0010_0001
cnt = 259 , EMG = 0 , lights = 0001_1001
cnt = 260 , EMG = 0 , lights = 0001_1001
cnt = 261 , EMG = 0 , lights = 0001_1001
cnt = 262 , EMG = 0 , lights = 0001_1001
cnt = 263 , EMG = 0 , lights = 0001_1001
cnt = 264 , EMG = 0 , lights = 0001_0100
cnt = 265 , EMG = 0 , lights = 0001_0100
cnt = 266 , EMG = 0 , lights = 0001_0100
cnt = 267 , EMG = 0 , lights = 0001_0100
cnt = 268 , EMG = 0 , lights = 0001_0100
cnt = 269 , EMG = 0 , lights = 0001_0100
cnt = 270 , EMG = 0 , lights = 0001_0100
cnt = 271 , EMG = 0 , lights = 0001_0100
cnt = 272 , EMG = 0 , lights = 0001_0100
cnt = 273 , EMG = 0 , lights = 0001_0100
cnt = 274 , EMG = 0 , lights = 0001_0010
cnt = 275 , EMG = 0 , lights = 0001_0010
cnt = 276 , EMG = 0 , lights = 0001_0010
cnt = 277 , EMG = 0 , lights = 1001_0001
cnt = 278 , EMG = 0 , lights = 1001_0001
