time, valid_out, skinScore
          0, x,   x
          1, x,   0
          2, x,   0
          3, x,   0
          4, x,   0
          5, x,   0
          6, x,   0
          7, x,   x
          8, x,   x
          9, x, 255
         10, x, 255
         11, x, 255
         12, x, 255
         13, x, 255
         14, x, 255
         15, x, 255
         16, x, 255
         17, x, 255
         18, x, 255
         19, x, 255
         20, x, 255
         21, x, 255
         22, x,   x
         23, x, 238
         24, x, 238
         25, x, 238
         26, x, 238
         27, x, 238
         28, x, 238
         29, x, 238
         30, x,   x
         31, x,   x
         32, x,   x
         33, x,   x
         34, x,   x
         35, x,   x
         36, x,   x
         37, x,   x
         38, x,   x
         39, x,   x
         40, x,   x
         41, x,   x
         42, 1,   0
         43, 1,   0
         44, 1,   0
         45, 1,   0
         46, 1, 253
         47, 1,   0
         48, x,   x
         49, x,   x
         50, x,   x
         51, 0,   x
         52, 0,   x
         53, 0,   x
         54, 0,   x
         55, 0,   x
         56, 0,   x
         57, 0,   x
         58, 0,   x
         59, 0,   x
         60, 0,   x
         61, 0,   x
         62, 0,   x
         63, 0,   x
         64, 0,   x
         65, 0,   x
         66, 0,   x
         67, 0,   x
         68, 0,   x
         69, 0,   x
         70, 0,   x
         71, 0,   x
         72, 0,   x
         73, 0,   x
         74, 0,   x
         75, 0,   x
         76, 0,   x
         77, 0,   x
         78, 0,   x
         79, 0,   x
         80, 0,   x
         81, 0,   x
         82, 0,   x
         83, 0,   x
         84, 0,   x
         85, 0,   x
         86, 0,   x
         87, 0,   x
         88, 0,   x
         89, 0,   x
         90, 0,   x
         91, 0,   x
         92, 0,   x
         93, 0,   x
         94, 0,   x
         95, 0,   x
         96, 0,   x
         97, 0,   x
         98, 0,   x
         99, 0,   x
