time, valid_out, skinScore
          0, x,   x
          1, x,   0
          2, x,   0
          3, x,   0
          4, x,   0
          5, x,   0
          6, x,   0
          7, x,   x
          8, x,   x
          9, x, 255
         10, x, 255
         11, x, 255
         12, x, 255
         13, x, 255
         14, x, 255
         15, x, 255
         16, x, 255
         17, x, 255
         18, x, 255
         19, x, 255
         20, x, 255
         21, x, 255
         22, x,   x
         23, x, 238
         24, x, 238
         25, x, 238
         26, x, 238
         27, x, 238
         28, x, 238
         29, x, 238
         30, x,   x
         31, x,   x
         32, x,   x
         33, x,   x
         34, x,   x
         35, x,   x
         36, x,   x
         37, x,   x
         38, x,   x
         39, x,   x
         40, x,   x
         41, x,   x
         42, 1, 253
         43, 1, 254
         44, 1, 254
         45, 1, 251
         46, 1, 254
         47, 1, 254
         48, 1, 248
         49, 1, 251
         50, 1, 251
         51, 1, 240
         52, 1, 246
         53, 1, 246
         54, 1, 246
         55, 1, 246
         56, 1, 246
         57, 1, 246
         58, 1, 246
         59, 1, 246
         60, 1, 246
         61, 1, 246
         62, 1, 246
         63, 1, 184
         64, 1, 184
         65, 1, 248
         66, 1, 243
         67, 1, 238
         68, 1, 246
         69, 1, 238
         70, 1, 246
         71, 1, 243
         72, 1, 243
         73, 1, 243
         74, 1, 243
         75, 1, 243
         76, 1, 243
         77, 1, 243
         78, 1, 243
         79, 1, 243
         80, 1, 243
         81, 1, 243
         82, 1, 230
         83, 1, 243
         84, 1, 238
         85, 1, 244
         86, 1, 245
         87, 1, 246
         88, 1, 240
         89, 1, 237
         90, 1, 240
         91, 1, 239
         92, 1, 232
         93, 1, 237
         94, 1, 238
         95, 1, 222
         96, 1, 232
         97, 1, 236
         98, 1, 232
         99, 1, 225
        100, 1, 232
        101, 1, 237
        102, 1, 229
        103, 1, 222
        104, 1, 226
        105, 1, 214
        106, 1, 230
        107, 1, 230
        108, 1, 230
        109, 1, 230
        110, 1, 230
        111, 1, 230
        112, 1, 230
        113, 1, 230
        114, 1, 230
        115, 1, 230
        116, 1, 230
        117, 1,   0
        118, 1, 184
        119, 1, 241
        120, 1, 237
        121, 1, 230
        122, 1, 227
        123, 1, 227
        124, 1, 232
        125, 1, 222
        126, 1, 234
        127, 1, 227
        128, 1, 237
        129, 1, 222
        130, 1, 226
        131, 1, 217
        132, 1, 210
        133, 1, 227
        134, 1, 219
        135, 1, 226
        136, 1, 227
        137, 1, 213
        138, 1, 215
        139, 1, 219
        140, 1, 203
        141, 1, 215
        142, 1, 229
        143, 1, 213
        144, 1, 208
        145, 1, 207
        146, 1, 212
        147, 1, 199
        148, 1, 208
        149, 1, 207
        150, 1, 207
        151, 1, 207
        152, 1, 207
        153, 1, 207
        154, 1, 207
        155, 1, 207
        156, 1, 207
        157, 1, 207
        158, 1, 207
        159, 1, 207
        160, 1, 207
        161, 1, 207
        162, 1, 207
        163, 1, 200
        164, 1, 200
        165, 1, 210
        166, 1, 200
        167, 1, 189
        168, 1, 216
        169, 1, 207
        170, 1, 208
        171, 1, 193
        172, 1, 202
        173, 1, 202
        174, 1, 202
        175, 1, 202
        176, 1, 202
        177, 1, 202
        178, 1, 202
        179, 1, 202
        180, 1, 202
        181, 1, 202
        182, 1, 202
        183, 1,   0
        184, 1, 230
        185, 1, 186
        186, 1, 187
        187, 1, 214
        188, 1, 187
        189, 1, 201
        190, 1, 216
        191, 1, 181
        192, 1, 202
        193, 1, 200
        194, 1, 203
        195, 1, 209
        196, 1, 206
        197, 1, 180
        198, 1, 193
        199, 1, 189
        200, 1, 200
        201, 1, 194
        202, 1, 199
        203, 1, 197
        204, 1, 192
        205, 1, 168
        206, 1, 205
        207, 1, 189
        208, 1, 210
        209, 1, 188
        210, 1, 162
        211, 1, 204
        212, 1, 193
        213, 1, 175
        214, 1, 177
        215, 1, 186
        216, 1, 185
        217, 1, 193
        218, 1, 184
        219, 1, 184
        220, 1, 184
        221, 1, 184
        222, 1, 184
        223, 1, 184
        224, 1, 184
        225, 1, 184
        226, 1, 184
        227, 1, 184
        228, 1, 184
        229, 1, 171
        230, 1,  70
        231, 1, 191
        232, 1, 188
        233, 1, 174
        234, 1, 180
        235, 1, 180
        236, 1, 180
        237, 1, 180
        238, 1, 180
        239, 1, 180
        240, 1, 180
        241, 1, 180
        242, 1, 180
        243, 1, 180
        244, 1, 180
        245, 1, 171
        246, 1,   0
        247, 1, 180
        248, 1, 156
        249, 1, 190
        250, 1, 178
        251, 1, 167
        252, 1, 175
        253, 1, 176
        254, 1, 184
