          0,           x,           x
          1,           0,           0
          2,           0,           0
          3,           0,           0
          4,           0,           0
          5,           0,           0
          6,           0,           0
          7,           0,           0
          8,           x,           x
          9,      106898,      506122
         10,       64061,     7446979
         11,     -826944,     1158697
         12,     -826944,     1158697
         13,     -826944,     1158697
         14,     -826944,     1158697
         15,     -826944,     1158697
         16,     -826944,     1158697
         17,     -826944,     1158697
         18,     -826944,     1158697
         19,     -826944,     1158697
