          0,           x,           x
          1,           x,           x
          2,           x,           x
          3,           x,           x
          4,           x,           x
          5,           x,           x
          6,           x,           x
          7,           x,           x
          8,           x,           x
          9,      -32332,     -249048
         10,      -32332,     -249048
         11,      -32332,     -249048
         12,      -32332,     -249048
         13,      -32332,     -249048
         14,      -32332,     -249048
         15,      -32332,     -249048
         16,      -32332,     -249048
         17,      -32332,     -249048
         18,      -32332,     -249048
         19,      -32332,     -249048
